,8:00-9:30,9:30-11:00,11:00-12:30,12:30-2:00,2:00-3:30,3:30-5:00,5:00-6:30,6:30-8:00,
,8:00-11:00,11:00-2:00,2:00-5:00,5:00-8:00,
,CS-6,Applied Physics (CS-H),Applied Physics (CS-G),Calculus and Ana. Geometry (CS-G),Calculus and Ana. Geometry (CS-H),Sociology (CS-B),Sociology (CS-A),No Class,No Class,
,CS-7,Professional Issues in IT (CS-A),Professional Issues in IT (CS-B),Comp. Org. & Assembly L. (CS-A),Comp. Org. & Assembly L. (CS-B),French Language (CS-A),French Language (CS-B),No Class,No Class,
,CS-8,Numerical Methods (CS-C),No Class,Design & Analysis of Algorithms (CS-C),Design & Analysis of Algorithms (CS-D),No Class,No Class,No Class,No Class,
,CS-9,No Class,Database Systems (CS-A),Database Systems (CS-B),Design & Analysis of Algorithms (CS-E),Network Security (CS),Database Systems (CS-E),No Class,No Class,
,CS-10,Digital Logic Design (CS-B) ,Database Systems (CS-C),Database Systems (CS-D),Fundamental of Computer Vision (CS-B),No Class,Fundamental of Computer Vision (CS-A),No Class,No Class,
,CS-11,Software for Mobile Devices (CS-D),Software for Mobile Devices (CS-C),Object Oriented  Analysis & Design (CS-A),No Class,Object Oriented  Analysis & Design (CS-B),Differential Equations (CS-C),No Class,No Class,
,CS-15,Arabic Language (CS),Digital Logic Design (CS-A),Digital Logic Design (CS-C),Differential Equations (CS-A),Psychology (CS),Differential Equations (CS-B),No Class,No Class,
,CS-16,Technical & Business Writing (CS-A),Technical & Business Writing (CS-F),Communication & Presentation Skills (CS-F1),No Class,Communication & Presentation Skills (CS-H1),Technical & Business Writing (CS-G),Technical & Business Writing (CS-H),No Class,
,Seminar Hall,No Class,No Class,Communication & Presentation Skills (CS-F2),No Class,Communication & Presentation Skills (CS-H2),No Class,No Class,No Class,
,CE-2,Pakistan Studies (CS-G),Theory of Automata (CS-A),Theory of Automata (CS-B),No Class,No Class,No Class,No Class,No Class,
,CE-3,Pakistan Studies (CS-A),No Class,Modern Politics & Government (CS),No Class,No Class,No Class,No Class,No Class,
,English Lab-I,Comm & Presentation Skills Lab (CS-C1),No Class,Comm & Presentation Skills Lab (CS-H1),No Class,Comm & Presentation Skills Lab (CS-B1),No Class,No Class,No Class,
,English Lab-II,Comm & Presentation Skills Lab (CS-C2),No Class,Comm & Presentation Skills Lab (CS-H2),No Class,Comm & Presentation Skills Lab (CS-B2),No Class,No Class,No Class,
,English Lab-III,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,Lab(CS-1),No lab,Object Oriented Programming Lab (CS-B1 & CS-B2),Programming Fundamentals Lab (CS-G1 & CS-G2),No lab,
,Lab(CS-4),No lab,No lab,No lab,No lab,
,Lab(CS-6),No lab,No lab,No lab,No lab,
,Lab(CS-8),No lab,No lab,No lab,No lab,
,Lab(CS-9),Reserved for Fast School of Management (FSM),Reserved for Fast School of Management (FSM),No lab,No lab,
,Lab(CS-10),No lab,No lab,No lab,No lab,
,Physics Lab,No lab,Digital Logic Design Lab (CS-A1),Digital Logic Design Lab (CS-C1),No lab,
,Micro Lab,No lab,No lab,No lab,No lab,
,Thursday,
,CS-1,No Class,Cloud Computing (MS),Digital Image Processing (CS),Theory of Automata - II (MS),Advanced Computer Architecture (MS),No Class,No Class,No Class,
,CS-2,Computer Networks (CS-B),Computer Networks (CS-A),Communication & Presentation Skills (CS-G2),No Class,Social Network Analysis (MS-DS),Technical & Business Writing (CS-B),Requirement Engineering (MS-SPM-A),No Class,
,CS-3,No Class,Computer Programming (CS-A),Operating Systems (CS-C),Operating Systems (CS-D),Design & Analysis of Algorithms (CS-B),Enterprise Information System (CS),English Composition (CS-R),No Class,
,CS-4,No Class,Data Structures (CS-A),Data Structures (CS-B),Operating Systems (CS-E),Professional Issues in IT (CS-C),Philosophy (CS),No Class,No Class,
,CS-5,Differential Equations (Cal II) (CS-A),Data Structures (CS-C),Differential Equations (Cal II) (CS-B),Operating Systems (CS-A),Operating Systems (CS-B),Organizational Behavior (CS),No Class,No Class,
